id,Date,Fire Details,TFS,Location,Civilian Impact,Sprinkler Systems,Smoke Alarms,Fire Alarms,Damages
1694221,2018-02-24,fr1694221,F18020956,loc1694221,ci1694221,sp1694221,sa1694221,fa1694221,d1694221
1694222,2018-02-24,fr1694222,F18020969,loc1694222,ci1694222,sp1694222,sa1694222,fa1694222,d1694222
1694223,2018-02-25,fr1694223,F18021182,loc1694223,ci1694223,sp1694223,sa1694223,fa1694223,d1694223
1694224,2018-02-25,fr1694224,F18021192,loc1694224,ci1694224,sp1694224,sa1694224,fa1694224,d1694224
1694225,2018-02-25,fr1694225,F18021271,loc1694225,ci1694225,sp1694225,sa1694225,fa1694225,d1694225
1694226,2018-02-25,fr1694226,F18021274,loc1694226,ci1694226,sp1694226,sa1694226,fa1694226,d1694226
1694227,2018-02-26,fr1694227,F18021633,loc1694227,ci1694227,sp1694227,sa1694227,fa1694227,d1694227
1694228,2018-02-27,fr1694228,F18021837,loc1694228,ci1694228,sp1694228,sa1694228,fa1694228,d1694228
1694229,2018-02-25,fr1694229,F18021221,loc1694229,ci1694229,sp1694229,sa1694229,fa1694229,d1694229
1694230,2018-02-26,fr1694230,F18021565,loc1694230,ci1694230,sp1694230,sa1694230,fa1694230,d1694230
1694231,2018-02-26,fr1694231,F18021628,loc1694231,ci1694231,sp1694231,sa1694231,fa1694231,d1694231
1694232,2018-02-26,fr1694232,F18021629,loc1694232,ci1694232,sp1694232,sa1694232,fa1694232,d1694232
1694233,2018-02-26,fr1694233,F18021639,loc1694233,ci1694233,sp1694233,sa1694233,fa1694233,d1694233
1694234,2018-03-03,fr1694234,F18023219,loc1694234,ci1694234,sp1694234,sa1694234,fa1694234,d1694234
1694235,2018-03-03,fr1694235,F18023270,loc1694235,ci1694235,sp1694235,sa1694235,fa1694235,d1694235
1694236,2018-03-03,fr1694236,F18023312,loc1694236,ci1694236,sp1694236,sa1694236,fa1694236,d1694236
1694237,2018-03-03,fr1694237,F18023350,loc1694237,ci1694237,sp1694237,sa1694237,fa1694237,d1694237
1694238,2018-03-03,fr1694238,F18023361,loc1694238,ci1694238,sp1694238,sa1694238,fa1694238,d1694238
1694239,2018-03-03,fr1694239,F18023371,loc1694239,ci1694239,sp1694239,sa1694239,fa1694239,d1694239
1694240,2018-03-03,fr1694240,F18023381,loc1694240,ci1694240,sp1694240,sa1694240,fa1694240,d1694240
1694241,2018-03-03,fr1694241,F18023390,loc1694241,ci1694241,sp1694241,sa1694241,fa1694241,d1694241
1694242,2018-03-03,fr1694242,F18023394,loc1694242,ci1694242,sp1694242,sa1694242,fa1694242,d1694242
1694243,2018-03-03,fr1694243,F18023435,loc1694243,ci1694243,sp1694243,sa1694243,fa1694243,d1694243
1694244,2018-03-04,fr1694244,F18023440,loc1694244,ci1694244,sp1694244,sa1694244,fa1694244,d1694244
1694245,2018-01-04,fr1694245,F18001589,loc1694245,ci1694245,sp1694245,sa1694245,fa1694245,d1694245
1694246,2018-01-05,fr1694246,F18002055,loc1694246,ci1694246,sp1694246,sa1694246,fa1694246,d1694246
1694247,2018-01-06,fr1694247,F18002491,loc1694247,ci1694247,sp1694247,sa1694247,fa1694247,d1694247
1694248,2018-01-08,fr1694248,F18003786,loc1694248,ci1694248,sp1694248,sa1694248,fa1694248,d1694248
1694249,2018-01-08,fr1694249,F18003803,loc1694249,ci1694249,sp1694249,sa1694249,fa1694249,d1694249
1694250,2018-01-08,fr1694250,F18003864,loc1694250,ci1694250,sp1694250,sa1694250,fa1694250,d1694250
1694251,2018-01-09,fr1694251,F18004096,loc1694251,ci1694251,sp1694251,sa1694251,fa1694251,d1694251
1694252,2018-01-10,fr1694252,F18004527,loc1694252,ci1694252,sp1694252,sa1694252,fa1694252,d1694252
1694253,2018-01-10,fr1694253,F18004704,loc1694253,ci1694253,sp1694253,sa1694253,fa1694253,d1694253
1694254,2018-01-10,fr1694254,F18004745,loc1694254,ci1694254,sp1694254,sa1694254,fa1694254,d1694254
1694255,2018-01-11,fr1694255,F18004816,loc1694255,ci1694255,sp1694255,sa1694255,fa1694255,d1694255
1694256,2018-01-11,fr1694256,F18005091,loc1694256,ci1694256,sp1694256,sa1694256,fa1694256,d1694256
1694257,2018-01-11,fr1694257,F18005176,loc1694257,ci1694257,sp1694257,sa1694257,fa1694257,d1694257
1694258,2018-01-12,fr1694258,F18005660,loc1694258,ci1694258,sp1694258,sa1694258,fa1694258,d1694258
1694259,2018-01-14,fr1694259,F18006158,loc1694259,ci1694259,sp1694259,sa1694259,fa1694259,d1694259
1694260,2018-01-14,fr1694260,F18006306,loc1694260,ci1694260,sp1694260,sa1694260,fa1694260,d1694260
1694261,2018-01-14,fr1694261,F18006309,loc1694261,ci1694261,sp1694261,sa1694261,fa1694261,d1694261
1694262,2018-01-15,fr1694262,F18006802,loc1694262,ci1694262,sp1694262,sa1694262,fa1694262,d1694262
1694263,2018-03-17,fr1694263,F18027883,loc1694263,ci1694263,sp1694263,sa1694263,fa1694263,d1694263
1694264,2018-03-17,fr1694264,F18027890,loc1694264,ci1694264,sp1694264,sa1694264,fa1694264,d1694264
1694265,2018-03-17,fr1694265,F18027895,loc1694265,ci1694265,sp1694265,sa1694265,fa1694265,d1694265
1694266,2018-03-17,fr1694266,F18027914,loc1694266,ci1694266,sp1694266,sa1694266,fa1694266,d1694266
1694267,2018-03-17,fr1694267,F18027935,loc1694267,ci1694267,sp1694267,sa1694267,fa1694267,d1694267
1694268,2018-03-18,fr1694268,F18027940,loc1694268,ci1694268,sp1694268,sa1694268,fa1694268,d1694268
1694269,2018-03-18,fr1694269,F18028037,loc1694269,ci1694269,sp1694269,sa1694269,fa1694269,d1694269
1694270,2018-03-18,fr1694270,F18028121,loc1694270,ci1694270,sp1694270,sa1694270,fa1694270,d1694270
1694271,2018-03-18,fr1694271,F18028199,loc1694271,ci1694271,sp1694271,sa1694271,fa1694271,d1694271
1694272,2018-03-18,fr1694272,F18028238,loc1694272,ci1694272,sp1694272,sa1694272,fa1694272,d1694272
1694273,2018-02-15,fr1694273,F18017574,loc1694273,ci1694273,sp1694273,sa1694273,fa1694273,d1694273
1694274,2018-05-29,fr1694274,F18055833,loc1694274,ci1694274,sp1694274,sa1694274,fa1694274,d1694274
1694275,2018-03-24,fr1694275,F18030010,loc1694275,ci1694275,sp1694275,sa1694275,fa1694275,d1694275
1694276,2018-03-22,fr1694276,F18029417,loc1694276,ci1694276,sp1694276,sa1694276,fa1694276,d1694276
1694277,2018-03-22,fr1694277,F18029476,loc1694277,ci1694277,sp1694277,sa1694277,fa1694277,d1694277
1694278,2018-03-22,fr1694278,F18029501,loc1694278,ci1694278,sp1694278,sa1694278,fa1694278,d1694278
1694279,2018-03-22,fr1694279,F18029557,loc1694279,ci1694279,sp1694279,sa1694279,fa1694279,d1694279
1694280,2018-02-08,fr1694280,F18014988,loc1694280,ci1694280,sp1694280,sa1694280,fa1694280,d1694280
1694281,2018-02-08,fr1694281,F18015006,loc1694281,ci1694281,sp1694281,sa1694281,fa1694281,d1694281
1694282,2018-01-22,fr1694282,F18009288,loc1694282,ci1694282,sp1694282,sa1694282,fa1694282,d1694282
1694283,2018-01-23,fr1694283,F18009449,loc1694283,ci1694283,sp1694283,sa1694283,fa1694283,d1694283
1694284,2018-01-23,fr1694284,F18009549,loc1694284,ci1694284,sp1694284,sa1694284,fa1694284,d1694284
1694285,2018-01-23,fr1694285,F18009668,loc1694285,ci1694285,sp1694285,sa1694285,fa1694285,d1694285
1694286,2018-06-14,fr1694286,F18062288,loc1694286,ci1694286,sp1694286,sa1694286,fa1694286,d1694286
1694287,2018-02-02,fr1694287,F18013074,loc1694287,ci1694287,sp1694287,sa1694287,fa1694287,d1694287
1694288,2018-02-02,fr1694288,F18013133,loc1694288,ci1694288,sp1694288,sa1694288,fa1694288,d1694288
1694289,2018-02-02,fr1694289,F18013140,loc1694289,ci1694289,sp1694289,sa1694289,fa1694289,d1694289
1694290,2018-02-02,fr1694290,F18013187,loc1694290,ci1694290,sp1694290,sa1694290,fa1694290,d1694290
1694291,2018-02-03,fr1694291,F18013290,loc1694291,ci1694291,sp1694291,sa1694291,fa1694291,d1694291
1694292,2018-01-26,fr1694292,F18010586,loc1694292,ci1694292,sp1694292,sa1694292,fa1694292,d1694292
1694293,2018-02-03,fr1694293,F18013387,loc1694293,ci1694293,sp1694293,sa1694293,fa1694293,d1694293
1694294,2018-02-03,fr1694294,F18013449,loc1694294,ci1694294,sp1694294,sa1694294,fa1694294,d1694294
1694295,2018-02-03,fr1694295,F18013491,loc1694295,ci1694295,sp1694295,sa1694295,fa1694295,d1694295
1694296,2018-01-15,fr1694296,F18006804,loc1694296,ci1694296,sp1694296,sa1694296,fa1694296,d1694296
1694297,2018-01-16,fr1694297,F18006977,loc1694297,ci1694297,sp1694297,sa1694297,fa1694297,d1694297
1694298,2018-01-16,fr1694298,F18006978,loc1694298,ci1694298,sp1694298,sa1694298,fa1694298,d1694298
1694299,2018-01-18,fr1694299,F18007855,loc1694299,ci1694299,sp1694299,sa1694299,fa1694299,d1694299
1694300,2018-01-19,fr1694300,F18007996,loc1694300,ci1694300,sp1694300,sa1694300,fa1694300,d1694300
1694301,2018-01-19,fr1694301,F18008244,loc1694301,ci1694301,sp1694301,sa1694301,fa1694301,d1694301
1694302,2018-01-20,fr1694302,F18008569,loc1694302,ci1694302,sp1694302,sa1694302,fa1694302,d1694302
1694303,2018-01-21,fr1694303,F18008739,loc1694303,ci1694303,sp1694303,sa1694303,fa1694303,d1694303
1694304,2018-07-09,fr1694304,F18072393,loc1694304,ci1694304,sp1694304,sa1694304,fa1694304,d1694304
1694305,2018-07-09,fr1694305,F18072399,loc1694305,ci1694305,sp1694305,sa1694305,fa1694305,d1694305
1694306,2018-03-30,fr1694306,F18032079,loc1694306,ci1694306,sp1694306,sa1694306,fa1694306,d1694306
1694307,2018-03-30,fr1694307,F18032087,loc1694307,ci1694307,sp1694307,sa1694307,fa1694307,d1694307
1694308,2018-03-30,fr1694308,F18032214,loc1694308,ci1694308,sp1694308,sa1694308,fa1694308,d1694308
1694309,2018-03-30,fr1694309,F18032227,loc1694309,ci1694309,sp1694309,sa1694309,fa1694309,d1694309
1694310,2018-03-30,fr1694310,F18032234,loc1694310,ci1694310,sp1694310,sa1694310,fa1694310,d1694310
