id,casualties,people_rescued,est_people_displaced
ci1694221,0,0,0
ci1694226,0,0,0
ci1694230,0,0,0
ci1694236,0,0,0
ci1694240,0,0,0
ci1694242,0,0,0
ci1694245,0,0,0
ci1694246,0,0,0
ci1694248,0,0,0
ci1694260,0,0,0
ci1694261,0,0,0
ci1694271,0,0,0
ci1694279,0,0,0
ci1694280,0,0,0
ci1694281,0,0,0
ci1694318,0,0,0
ci1694333,0,0,0
ci1694338,0,0,0
ci1694222,0,0,0
ci1694231,0,0,0
ci1694241,0,0,0
ci1694249,0,0,0
ci1694250,0,0,0
ci1694251,0,0,0
ci1694252,0,0,0
ci1694253,0,0,0
ci1694255,0,0,0
ci1694257,0,0,0
ci1694258,0,0,0
ci1694259,0,0,0
ci1694270,0,0,0
ci1694273,0,0,0
ci1694274,0,0,0
ci1694276,0,0,0
ci1694277,0,0,0
ci1694286,0,0,0
ci1694295,0,0,0
ci1694308,0,0,0
ci1694310,0,0,0
ci1694311,0,0,0
ci1694313,0,0,0
ci1694316,0,0,0
ci1694317,0,0,0
ci1694339,0,0,0
ci1694223,0,0,0
ci1694233,0,0,0
ci1694235,0,0,0
ci1694238,0,0,0
ci1694243,0,0,0
ci1694266,0,0,0
ci1694269,0,0,0
ci1694275,0,0,1
ci1694278,0,0,0
ci1694282,0,0,7
ci1694300,0,0,0
ci1694224,0,0,0
ci1694234,0,0,0
ci1694268,0,0,0
ci1694296,0,0,0
ci1694304,0,0,0
ci1694324,0,0,0
ci1694326,0,0,0
ci1694335,0,0,0
ci1694340,0,0,0
ci1694341,0,0,0
ci1694343,0,0,0
ci1694225,0,0,0
ci1694227,0,0,0
ci1694232,0,0,0
ci1694237,0,0,1
ci1694239,0,0,3
ci1694247,0,0,0
ci1694256,0,0,0
ci1694264,0,0,0
ci1694265,0,0,0
ci1694272,0,0,0
ci1694283,0,0,0
ci1694285,0,0,0
ci1694287,0,0,0
ci1694289,0,0,2
ci1694290,0,0,0
ci1694293,0,0,0
ci1694299,0,0,3
ci1694301,0,0,0
ci1694309,0,0,6
ci1694312,0,0,0
ci1694320,0,0,5
ci1694321,1,0,0
ci1694322,0,0,2
ci1694323,2,0,0
ci1694325,0,0,2
ci1694327,0,0,0
ci1694328,0,0,0
ci1694329,0,0,0
ci1694330,0,0,0
