id,impact_evacuation,fa_operation,fa_presence
fa1694221,,,
fa1694226,,,
fa1694230,,,
fa1694236,,,
fa1694240,,,
fa1694242,,,
fa1694245,,,
fa1694246,,,
fa1694248,,,
fa1694260,,,
fa1694261,,,
fa1694271,,,
fa1694279,,,
fa1694280,,,
fa1694281,,,
fa1694318,,,
fa1694333,,,
fa1694338,,,
fa1694222,,,
fa1694231,,,
fa1694241,,,
fa1694249,,,
fa1694250,,,
fa1694251,,,
fa1694252,,,
fa1694253,,,
fa1694255,,,
fa1694257,,,
fa1694258,,,
fa1694259,,,
fa1694270,,,
fa1694273,,,
fa1694274,,,
fa1694276,,,
fa1694277,,,
fa1694286,,,
fa1694295,,,
fa1694308,,,
fa1694310,,,
fa1694311,,,
fa1694313,,,
fa1694316,,,
fa1694317,,,
fa1694339,,,
fa1694223,,,
fa1694233,,,
fa1694235,,,
fa1694238,2,1,1
fa1694243,7,2,1
fa1694266,3,2,1
fa1694269,2,1,1
fa1694275,1,1,1
fa1694278,,,
fa1694282,1,1,1
fa1694300,1,1,1
fa1694224,9,8,9
fa1694234,8,8,2
fa1694268,,,
fa1694296,7,2,1
fa1694304,,,
fa1694324,9,9,9
fa1694326,1,1,1
fa1694335,,,
fa1694340,,,
fa1694341,,,
fa1694343,,,
fa1694225,,,
fa1694227,8,8,8
fa1694232,1,1,1
fa1694237,8,8,2
fa1694239,7,8,2
fa1694247,4,9,1
fa1694256,8,8,2
fa1694264,,,
fa1694265,8,8,2
fa1694272,7,8,8
fa1694283,7,8,8
fa1694285,7,8,8
fa1694287,8,8,2
fa1694289,1,1,1
fa1694290,7,8,2
fa1694293,1,8,8
fa1694299,8,8,2
fa1694301,2,1,1
fa1694309,7,8,1
fa1694312,8,9,9
fa1694320,7,8,2
fa1694321,9,8,9
fa1694322,1,8,8
fa1694323,2,1,1
fa1694325,9,8,2
fa1694327,1,1,1
fa1694328,,,
fa1694329,7,8,2
fa1694330,7,2,1
fa1694331,7,9,9
fa1694344,7,2,1
fa1694345,3,1,1
fa1694347,7,2,1
fa1694348,,,
fa1694349,8,8,2
fa1694228,2,1,1
fa1694294,2,1,1
fa1694315,1,1,1
fa1694319,1,1,1
fa1694229,1,1,1
fa1694263,1,1,1
fa1694291,8,1,1
fa1694244,1,1,1
fa1694254,,,
fa1694337,,,
fa1694262,,,
fa1694267,,,
fa1694305,,,
fa1694307,,,
fa1694284,1,1,1
fa1694297,1,1,1
fa1694288,,,
fa1694292,1,1,1
fa1694342,1,1,1
fa1694298,,,
fa1694303,,,
fa1694336,,,
fa1694302,7,9,1
fa1694306,3,1,1
fa1694314,1,1,1
fa1694334,3,1,1
fa1694332,9,1,1
fa1694346,,,
fa1694350,,,
fa1694351,9,9,9
fa1694352,,,
fa1694353,,,
fa1694354,,,
fa1694355,9,9,9
fa1694356,,,
fa1694357,,,
fa1694358,,,
fa1694359,,,
fa1694360,8,8,2
fa1694361,,,
fa1694362,,,
fa1694363,,,
fa1694364,,,
fa1694365,,,
fa1694366,8,8,8
fa1694367,,,
fa1694368,3,1,1
fa1694369,,,
fa1694370,2,1,1
fa1694371,1,1,1
fa1694372,,,
fa1694373,,,
fa1694374,8,1,1
fa1694375,8,8,2
fa1694376,,,
fa1694377,7,9,9
fa1694378,7,8,2
fa1694379,,,
fa1694380,,,
fa1694381,,,
fa1694382,9,9,9
fa1694383,1,1,1
fa1694384,1,1,1
fa1694385,1,1,1
fa1694386,,,
fa1694387,,,
fa1694388,,,
fa1694389,,,
fa1694390,,,
fa1694391,1,1,1
fa1694392,8,8,8
fa1694393,1,1,1
fa1694394,7,2,1
fa1694395,2,1,1
fa1694396,1,1,1
