id,area_of_origin,level_of_origin,exposures,extent_of_fire,final_incident_type,ignition_source,material_first_ignited,possible_cause,smoke_spread,Status_of_Fire_On_Arrival
fr1694221,81,,,,1,999,47,99,,7
fr1694226,81,,,,1,999,47,99,,4
fr1694230,,,,,3,,,,,
fr1694236,81,,,,1,82,47,99,,3
fr1694240,81,,,,1,98,56,60,,5
fr1694242,81,,,,1,81,47,51,,7
fr1694245,81,,,,1,999,72,51,,9
fr1694246,81,,,,1,41,47,99,,4
fr1694248,73,,,,1,82,99,51,,7
fr1694260,86,,,,1,999,99,99,,4
fr1694261,81,,,,1,81,99,99,,4
fr1694271,99,,,,1,999,99,99,,7
fr1694279,86,,,,1,98,47,1,,3
fr1694280,85,,,,1,999,58,1,,3
fr1694281,99,,,,1,999,99,1,,7
fr1694318,89,,,,1,81,99,99,,1
fr1694333,89,,,,1,81,99,52,,4
fr1694338,81,,,,1,98,47,99,,3
fr1694222,75,,,,1,999,97,3,,2
fr1694231,,,,,3,,,,,
fr1694241,,,,,3,,,,,
fr1694249,,,,,3,,,,,
fr1694250,,,,,3,,,,,
fr1694251,,,,,3,,,,,
fr1694252,,,,,3,,,,,
fr1694253,,,,,3,,,,,
fr1694255,,,,,3,,,,,
fr1694257,,,,,3,,,,,
fr1694258,,,,,3,,,,,
fr1694259,44,,,,1,77,46,99,,1
fr1694270,,,,,3,,,,,
fr1694273,,,,,3,,,,,
fr1694274,,,,,3,,,,,
fr1694276,,,,,3,,,,,
fr1694277,,,,,3,,,,,
fr1694286,,,,,3,,,,,
fr1694295,,,,,3,,,,,
fr1694308,,,,,3,,,,,
fr1694310,,,,,3,,,,,
fr1694311,,,,,3,,,,,
fr1694313,,,,,3,,,,,
fr1694316,75,,,,1,79,46,45,,4
fr1694317,,,,,3,,,,,
fr1694339,,,,,3,,,,,
fr1694223,,,,,3,,,,,
fr1694233,,,,,3,,,,,
fr1694235,,,,,3,,,,,
fr1694238,24,020,,1,1,11,74,98,2,1
fr1694243,64,007,,1,1,999,48,99,4,1
fr1694266,64,009,,2,1,999,46,98,4,4
fr1694269,64,004,,10,1,71,54,45,5,2
fr1694275,24,004,,2,1,12,74,44,6,2
fr1694278,,,,,3,,,,,
fr1694282,24,001,,1,1,47,55,52,3,3
fr1694300,21,004,,3,1,29,29,52,4,5
fr1694224,75,999,,1,1,999,99,99,99,3
fr1694234,24,001,,1,1,11,74,28,10,1
fr1694268,,,,,3,,,,,
fr1694296,24,001,,1,1,47,43,52,99,1
fr1694304,,,,,3,,,,,
fr1694324,31,001,,1,1,84,54,51,8,1
fr1694326,25,001,,1,1,77,56,1,4,3
fr1694335,,,,,3,,,,,
fr1694340,81,,,,1,999,99,99,,7
fr1694341,86,,,,1,999,43,99,,3
fr1694343,89,,,,1,999,47,50,,7
fr1694225,,,,,3,,,,,
fr1694227,22,002,,2,1,51,16,20,2,2
fr1694232,24,001,,1,1,11,74,44,2,1
fr1694237,25,001,,2,1,24,14,52,10,3
fr1694239,24,001,,2,1,11,74,80,2,2
fr1694247,22,003,,1,1,71,46,47,3,1
fr1694256,24,001,,1,1,13,97,60,4,1
fr1694264,,,,,3,,,,,
fr1694265,50,001,2,11,1,74,55,46,10,4
fr1694272,78,001,,9,1,71,54,45,9,4
fr1694283,24,001,,2,1,11,74,47,4,2
fr1694285,21,001,,2,1,73,13,60,7,3
fr1694287,61,B01,,1,1,72,54,50,2,1
fr1694289,24,003,,3,1,11,74,44,5,2
fr1694290,24,003,,2,1,11,74,60,4,2
fr1694293,24,001,,1,1,12,42,46,2,1
fr1694299,22,002,,2,1,55,48,44,4,2
fr1694301,24,001,,1,1,11,97,44,4,2
fr1694309,79,001,,9,1,14,55,44,9,4
fr1694312,64,003,,2,1,71,51,45,4,3
fr1694320,22,002,,3,1,71,31,47,4,3
fr1694321,79,001,,2,1,999,99,44,4,3
fr1694322,22,003,,2,1,71,31,99,4,2
fr1694323,24,001,,1,1,11,74,44,7,2
fr1694325,53,B01,,3,1,36,96,46,8,3
fr1694327,26,B01,,1,1,41,48,49,8,3
fr1694328,81,,,,1,999,99,99,,3
fr1694329,22,002,,2,1,55,14,47,2,1
fr1694330,21,003,,2,1,999,31,99,6,9
fr1694331,25,002,,2,1,73,54,20,2,1
fr1694344,75,999,,1,1,999,46,1,9,4
fr1694345,24,001,,1,1,12,74,28,7,2
fr1694347,24,004,,2,1,11,74,47,3,1
fr1694348,,,,,3,,,,,
fr1694349,24,B01,,2,1,11,74,44,3,1
fr1694228,55,011,,2,1,23,43,52,7,2
fr1694294,24,007,,2,1,11,74,60,4,1
fr1694315,24,008,,1,1,11,74,44,4,1
fr1694319,22,001,,3,1,55,23,44,7,2
fr1694229,28,003,,1,1,41,56,46,4,4
fr1694263,24,002,,2,1,11,39,46,2,1
fr1694291,44,001,,1,1,999,46,45,2,2
fr1694244,24,001,,1,1,49,39,51,3,4
fr1694254,,,,,3,,,,,
fr1694337,99,,,,1,20,55,98,,4
fr1694262,81,,,,1,999,54,99,,5
fr1694267,99,,,,1,999,99,99,,7
fr1694305,81,,,,1,999,97,60,,1
fr1694307,85,,,,1,999,99,99,,7
fr1694284,52,001,,2,1,41,43,52,3,3
fr1694297,12,002,,1,1,73,14,50,4,3
fr1694288,81,,,,1,82,47,60,,4
fr1694292,62,001,,1,1,73,19,60,4,1
fr1694342,24,001,,2,1,11,99,99,7,1
fr1694298,83,,,,1,21,43,99,,3
fr1694303,59,,,,1,21,97,52,,3
fr1694336,,,,,3,,,,,
fr1694302,24,012,,1,1,11,74,47,3,2
fr1694306,12,006,,2,1,999,41,1,2,1
fr1694314,22,006,,2,1,71,33,45,4,2
fr1694334,24,005,,1,1,83,48,51,4,1
fr1694332,27,001,,1,1,999,33,1,4,4
fr1694346,,,,,3,,,,,
fr1694350,75,,,,1,92,46,3,,4
fr1694351,53,001,,1,1,17,55,28,2,4
fr1694352,87,,,,1,81,47,52,,7
fr1694353,,,,,3,,,,,
fr1694354,,,,,3,,,,,
fr1694355,53,001,,1,1,17,99,28,2,2
fr1694356,81,,,,1,81,47,52,,7
fr1694357,,,,,3,,,,,
fr1694358,,,,,3,,,,,
fr1694359,,,,,3,,,,,
fr1694360,24,001,,2,1,11,74,44,3,1
fr1694361,,,,,3,,,,,
fr1694362,81,,,,1,999,99,99,,3
fr1694363,75,,,,1,999,46,99,,3
fr1694364,,,,,3,,,,,
fr1694365,83,,,,1,81,16,52,,3
fr1694366,64,001,,2,1,71,96,60,2,4
fr1694367,,,,,3,,,,,
fr1694368,11,001,,1,1,24,43,52,7,1
fr1694369,,,,,3,,,,,
fr1694370,24,017,,1,1,11,74,99,4,1
fr1694371,97,B01,,1,1,62,97,60,7,1
fr1694372,,,,,3,,,,,
fr1694373,81,,,,1,81,47,52,,3
fr1694374,24,003,,2,1,11,74,44,4,2
fr1694375,67,002,,7,1,72,13,47,4,4
fr1694376,81,,,,1,999,99,99,,1
fr1694377,99,001,,1,1,84,16,20,8,2
fr1694378,22,002,,2,1,71,41,45,4,1
fr1694379,,,,,3,,,,,
fr1694380,,,,,3,,,,,
fr1694381,,,,,3,,,,,
fr1694382,24,002,,1,1,23,43,52,2,1
fr1694383,58,001,,4,1,72,97,47,4,2
fr1694384,45,B02,,1,1,999,46,3,4,1
fr1694385,12,002,,4,1,999,48,1,4,1
fr1694386,,,,,3,,,,,
fr1694387,,,,,3,,,,,
fr1694388,99,,,,1,999,99,99,,7
fr1694389,,,,,3,,,,,
fr1694390,81,,,,1,81,16,52,,7
fr1694391,29,002,,2,1,19,97,52,6,1
fr1694392,81,999,,1,1,999,47,1,99,4
fr1694393,22,010,,2,1,55,32,44,5,2
fr1694394,12,002,,1,1,999,57,1,2,1
fr1694395,22,009,,2,1,71,32,47,4,2
fr1694396,24,B01,,4,1,11,23,44,8,3
fr1694397,,,,,3,,,,,
fr1694398,24,B01,,2,1,12,23,44,6,3
fr1694399,24,B01,,2,1,11,74,44,4,4
fr1694400,44,,,,1,999,46,1,,3
fr1694401,,,,,3,,,,,
fr1694402,42,999,,8,1,999,99,1,8,7
fr1694403,,,,,3,,,,,
fr1694404,30,001,,1,1,999,39,1,2,1
fr1694405,,,,,3,,,,,
fr1694406,81,,,,1,98,99,51,,7
fr1694407,24,008,,4,1,12,74,60,4,1
fr1694408,,,,,3,,,,,
fr1694409,,,,,3,,,,,
fr1694410,,,,,3,,,,,
fr1694411,51,011,,2,1,84,79,28,2,2
fr1694412,,,,,3,,,,,
fr1694413,46,001,,2,1,93,57,48,4,3
fr1694414,11,001,,7,1,52,12,52,8,4
fr1694415,28,001,,3,1,20,43,52,4,1
fr1694416,,,,,3,,,,,
fr1694417,21,002,,4,1,24,15,52,7,3
fr1694418,33,B02,,2,1,64,87,47,2,1
fr1694419,,,,,3,,,,,
fr1694420,,,,,3,,,,,
fr1694421,84,999,,1,1,82,47,51,2,4
fr1694422,,,,,3,,,,,
fr1694423,,,,,3,,,,,
fr1694424,,,,,3,,,,,
fr1694425,71,001,,2,1,999,15,47,2,4
fr1694426,83,,,,1,81,47,20,,1
fr1694427,,,,,3,,,,,
fr1694428,81,,,,1,81,99,52,,7
fr1694429,97,999,,1,1,81,97,99,99,9
fr1694430,81,999,,1,1,84,36,51,2,3
fr1694431,87,,,,1,81,43,52,,3
fr1694432,44,,,,1,999,99,98,,3
fr1694433,,,,,3,,,,,
fr1694434,,,,,3,,,,,
fr1694435,,,,,3,,,,,
fr1694436,,,,,3,,,,,
fr1694437,,,,,3,,,,,
fr1694438,,,,,3,,,,,
fr1694439,,,,,3,,,,,
fr1694440,81,999,,1,1,999,99,99,2,3
fr1694441,,,,,3,,,,,
fr1694442,,,,,3,,,,,
fr1694443,27,B01,,2,1,43,33,28,5,3
fr1694444,73,B02,,1,1,999,97,1,2,1
fr1694445,81,001,,1,1,999,99,99,2,7
fr1694446,,,,,3,,,,,
fr1694447,24,001,,1,1,12,74,28,2,2
fr1694448,,,,,3,,,,,
fr1694449,21,002,,1,1,71,33,45,5,2
fr1694450,22,002,,1,1,71,31,45,6,1
fr1694451,55,B01,,2,1,20,43,52,10,3
fr1694452,97,001,,1,1,69,97,20,4,1
fr1694453,83,B01,,1,1,23,43,52,5,9
fr1694454,79,997,,1,1,999,46,99,2,3
fr1694455,24,005,,2,1,11,54,47,5,1
fr1694456,44,001,,1,1,999,46,45,2,9
fr1694457,44,,,,1,71,46,45,,4
fr1694458,,,,,3,,,,,
fr1694459,,,,,3,,,,,
fr1694460,24,007,,1,1,11,54,44,5,2
fr1694461,25,002,,1,1,88,46,1,4,2
fr1694462,61,001,,1,1,999,29,1,99,1
fr1694463,,,,,3,,,,,
fr1694464,,,,,3,,,,,
fr1694465,64,015,,2,1,71,51,45,2,2
fr1694466,,,,,3,,,,,
fr1694467,,,,,3,,,,,
fr1694468,52,B01,,1,1,41,16,60,8,2
fr1694469,24,001,,2,1,11,74,44,7,1
fr1694470,24,B01,,2,1,11,74,44,7,2
fr1694471,,,,,3,,,,,
fr1694472,24,002,,3,1,11,23,44,7,3
fr1694473,55,001,,2,1,83,43,52,5,3
