id,incident_station_area,incident_ward,intersection,latitude,longitude,property_use
loc1694221,441,1,Dixon Rd / 427 N Dixon Ramp,43.68655818,-79.59941922,896
loc1694226,215,25,Lawrence Ave E / Beechgrove Dr,43.77378729,-79.16228237,837
loc1694230,426,4,Roncesvalles Ave / Dundas St W,43.65388247,-79.45184607,901
loc1694236,244,22,Kennedy Rd / Sheppard Ave E,43.78328686,-79.28826373,901
loc1694240,226,19,Dawes Rd / Guest Ave,43.68819297,-79.29694733,901
loc1694242,141,7,Hucknall Rd / Mantello Dr / Madron Cres,43.75659898,-79.49765941,901
loc1694245,441,1,Bethridge Rd / Precision Rd,43.70906006,-79.58725739,891
loc1694246,431,3,Park Lawn Rd / Berry Rd,43.63615695,-79.49342773,896
loc1694248,413,1,Kipling Ave / Markbrook Lane,43.75846073,-79.58935332,891
loc1694260,312,11,Yonge St / Collier St,43.67216246,-79.38758404,901
loc1694261,133,5,Keele St / Milford Ave,43.70455818,-79.47711757,901
loc1694271,214,25,Military Trl / Pan Am Dr,43.78783884,-79.19059108,896
loc1694279,326,14,Unwin Ave / Leslie St / Martin Goodman Trl,43.65234803,-79.3229205,901
loc1694280,212,25,Troutbeck Ave / Pennyhill Dr,43.81376339,-79.21630711,901
loc1694281,212,25,Troutbeck Ave / Pennyhill Dr,43.81376339,-79.21630711,901
loc1694318,222,21,Ashtonbee Rd / Hakimi Ave,43.72997258,-79.29207195,901
loc1694333,413,1,Kipling Ave / Mount Olive Dr / Panorama Crt / Kipling Ave Bicycle Trl,43.74681421,-79.58380727,901
loc1694338,445,2,The East Mall / Montebello Gdns,43.64739681,-79.56014731,896
loc1694222,116,18,Sheppard Ave E / Clairtrell Rd,43.76613478,-79.39003948,896
loc1694231,225,20,Anneke Rd / Pinegrove Ave,43.69935361,-79.25917222,125
loc1694241,421,5,Eglinton Ave W / Gabian Way,43.6917161,-79.46769602,896
loc1694249,314,13,Yonge St / Wellesley St E / Wellesley St W,43.66493728,-79.38459589,144
loc1694250,314,13,Yonge St / Wellesley St E / Wellesley St W,43.66493728,-79.38459589,144
loc1694251,333,13,King St E / Jarvis St,43.65046396,-79.3719139,848
loc1694252,311,12,Yonge St / Farnham Ave / Jackes Ave,43.68502592,-79.39285423,896
loc1694253,314,11,Yonge St / Gould St,43.65741595,-79.38136996,896
loc1694255,145,6,Whitley Ave / Northgate Dr,43.7272618,-79.46636188,301
loc1694257,342,9,Via Italia / Nunes Lane,43.67295813,-79.44376452,896
loc1694258,443,2,Islington Ave / The Westway,43.68862023,-79.54287356,898
loc1694259,426,9,Coolmine Rd / Dundas St W,43.64948288,-79.42582447,848
loc1694270,443,2,Islington Ave / The Westway,43.68862023,-79.54287356,848
loc1694273,423,4,Parkside Dr / Keele St / Bloor St W,43.65470705,-79.46004811,861
loc1694274,233,16,Wallingford Rd / Ptarmigan Cres,43.75597889,-79.32316524,861
loc1694276,112,6,Dufferin St / Steeles Ave W,43.7872832,-79.47008968,861
loc1694277,426,4,Fern Ave / Roncesvalles Ave,43.64455264,-79.44837137,896
loc1694286,314,11,Bay St / Edward St,43.65643574,-79.3840605,896
loc1694295,234,24,Lawrence Ave E / Florist Lane,43.7679299,-79.18837002,848
