id,sa_fire_origin,sa_alarm_failure,sa_alarm_type,sa_impact_evacuation
sa1694221,,,,
sa1694226,,,,
sa1694230,,,,
sa1694236,,,,
sa1694240,,,,
sa1694242,,,,
sa1694245,,,,
sa1694246,,,,
sa1694248,,,,
sa1694260,,,,
sa1694261,,,,
sa1694271,,,,
sa1694279,,,,
sa1694280,,,,
sa1694281,,,,
sa1694318,,,,
sa1694333,,,,
sa1694338,,,,
sa1694222,,,,
sa1694231,,,,
sa1694241,,,,
sa1694249,,,,
sa1694250,,,,
sa1694251,,,,
sa1694252,,,,
sa1694253,,,,
sa1694255,,,,
sa1694257,,,,
sa1694258,,,,
sa1694259,,,,
sa1694270,,,,
sa1694273,,,,
sa1694274,,,,
sa1694276,,,,
sa1694277,,,,
sa1694286,,,,
sa1694295,,,,
sa1694308,,,,
sa1694310,,,,
sa1694311,,,,
sa1694313,,,,
sa1694316,,,,
sa1694317,,,,
sa1694339,,,,
sa1694223,,,,
sa1694233,,,,
sa1694235,,,,
sa1694238,2,98,1,2
sa1694243,3,9,9,7
sa1694266,2,98,1,1
sa1694269,2,98,1,2
sa1694275,3,4,4,1
sa1694278,,,,
sa1694282,2,98,2,1
sa1694300,3,99,1,1
sa1694224,9,98,9,8
sa1694234,2,98,2,2
sa1694268,,,,
sa1694296,9,98,8,9
sa1694304,,,,
sa1694324,1,98,9,7
sa1694326,2,98,9,1
sa1694335,,,,
sa1694340,,,,
sa1694341,,,,
sa1694343,,,,
sa1694225,,,,
sa1694227,1,98,8,7
sa1694232,2,98,1,1
sa1694237,1,98,8,8
sa1694239,1,9,1,7
sa1694247,3,4,4,2
sa1694256,2,98,1,3
sa1694264,,,,
sa1694265,1,98,8,8
sa1694272,3,4,9,7
sa1694283,2,98,2,7
sa1694285,2,98,1,1
sa1694287,1,98,8,8
sa1694289,2,98,1,1
sa1694290,2,98,1,1
sa1694293,2,98,2,1
sa1694299,4,99,9,8
sa1694301,2,98,4,2
sa1694309,2,98,9,7
sa1694312,1,7,2,8
sa1694320,9,99,8,7
sa1694321,2,98,9,9
sa1694322,2,98,1,1
sa1694323,1,1,1,2
sa1694325,2,98,1,9
sa1694327,2,98,1,1
sa1694328,,,,
sa1694329,1,98,2,8
sa1694330,1,99,9,7
sa1694331,9,4,8,7
sa1694344,3,4,9,7
sa1694345,2,98,1,9
sa1694347,2,98,1,7
sa1694348,,,,
sa1694349,2,98,1,1
sa1694228,9,98,8,2
sa1694294,2,98,1,3
sa1694315,2,98,2,1
sa1694319,9,98,8,1
sa1694229,2,98,2,1
sa1694263,2,98,4,1
sa1694291,2,98,9,8
sa1694244,2,98,4,1
sa1694254,,,,
sa1694337,,,,
sa1694262,,,,
sa1694267,,,,
sa1694305,,,,
sa1694307,,,,
sa1694284,2,98,2,7
sa1694297,2,98,2,1
sa1694288,,,,
sa1694292,3,4,2,1
sa1694342,2,98,9,1
sa1694298,,,,
sa1694303,,,,
sa1694336,,,,
sa1694302,2,98,2,7
sa1694306,9,98,9,9
sa1694314,2,98,4,7
sa1694334,2,98,1,3
sa1694332,2,98,2,9
sa1694346,,,,
sa1694350,,,,
sa1694351,4,98,9,1
sa1694352,,,,
sa1694353,,,,
sa1694354,,,,
sa1694355,2,98,9,7
sa1694356,,,,
sa1694357,,,,
sa1694358,,,,
sa1694359,,,,
sa1694360,2,98,1,1
sa1694361,,,,
sa1694362,,,,
sa1694363,,,,
sa1694364,,,,
sa1694365,,,,
sa1694366,1,98,8,8
sa1694367,,,,
sa1694368,2,98,2,3
sa1694369,,,,
sa1694370,2,98,4,1
sa1694371,2,98,3,1
sa1694372,,,,
sa1694373,,,,
sa1694374,2,98,2,8
sa1694375,1,98,8,8
sa1694376,,,,
sa1694377,9,99,9,7
sa1694378,1,5,2,8
sa1694379,,,,
sa1694380,,,,
sa1694381,,,,
sa1694382,3,98,9,1
sa1694383,2,98,4,2
sa1694384,1,98,8,1
sa1694385,2,98,4,1
sa1694386,,,,
sa1694387,,,,
sa1694388,,,,
sa1694389,,,,
sa1694390,,,,
sa1694391,2,98,2,1
sa1694392,9,98,8,8
sa1694393,2,98,4,1
sa1694394,3,5,4,8
sa1694395,2,98,4,2
sa1694396,2,98,1,1
sa1694397,,,,
sa1694398,2,98,2,7
sa1694399,2,1,1,1
sa1694400,,,,
sa1694401,,,,
sa1694402,1,98,8,8
sa1694403,,,,
sa1694404,3,4,4,8
sa1694405,,,,
sa1694406,,,,
sa1694407,2,98,4,2
sa1694408,,,,
sa1694409,,,,
sa1694410,,,,
sa1694411,2,98,4,9
sa1694412,,,,
sa1694413,1,98,8,8
sa1694414,2,98,9,8
sa1694415,2,98,2,1
sa1694416,,,,
sa1694417,2,98,2,1
sa1694418,3,4,4,7
sa1694419,,,,
sa1694420,,,,
sa1694421,1,98,8,7
sa1694422,,,,
sa1694423,,,,
sa1694424,,,,
sa1694425,1,98,8,8
sa1694426,,,,
sa1694427,,,,
