id,sp_operation,sp_presence
sp1694221,,
sp1694226,,
sp1694230,,
sp1694236,,
sp1694240,,
sp1694242,,
sp1694245,,
sp1694246,,
sp1694248,,
sp1694260,,
sp1694261,,
sp1694271,,
sp1694279,,
sp1694280,,
sp1694281,,
sp1694318,,
sp1694333,,
sp1694338,,
sp1694222,,
sp1694231,,
sp1694241,,
sp1694249,,
sp1694250,,
sp1694251,,
sp1694252,,
sp1694253,,
sp1694255,,
sp1694257,,
sp1694258,,
sp1694259,,
sp1694270,,
sp1694273,,
sp1694274,,
sp1694276,,
sp1694277,,
sp1694286,,
sp1694295,,
sp1694308,,
sp1694310,,
sp1694311,,
sp1694313,,
sp1694316,,
sp1694317,,
sp1694339,,
sp1694223,,
sp1694233,,
sp1694235,,
sp1694238,2,2
sp1694243,3,1
sp1694266,2,1
sp1694269,8,9
sp1694275,2,9
sp1694278,,
sp1694282,9,9
sp1694300,8,3
sp1694224,8,9
sp1694234,3,9
sp1694268,,
sp1694296,3,1
sp1694304,,
sp1694324,9,9
sp1694326,3,9
sp1694335,,
sp1694340,,
sp1694341,,
sp1694343,,
sp1694225,,
sp1694227,8,3
sp1694232,8,3
sp1694237,8,3
sp1694239,8,3
sp1694247,3,9
sp1694256,8,3
sp1694264,,
sp1694265,8,3
sp1694272,8,3
sp1694283,8,3
sp1694285,8,3
sp1694287,8,3
sp1694289,2,9
sp1694290,8,3
sp1694293,8,3
sp1694299,8,3
sp1694301,9,9
sp1694309,8,3
sp1694312,8,3
sp1694320,8,3
sp1694321,9,9
sp1694322,8,3
sp1694323,9,9
sp1694325,8,9
sp1694327,8,3
sp1694328,,
sp1694329,8,3
sp1694330,8,3
sp1694331,8,3
sp1694344,9,9
sp1694345,8,3
sp1694347,2,2
sp1694348,,
sp1694349,8,3
sp1694228,8,3
sp1694294,8,3
sp1694315,9,2
sp1694319,9,9
sp1694229,3,1
sp1694263,1,1
sp1694291,8,3
sp1694244,1,1
sp1694254,,
sp1694337,,
sp1694262,,
sp1694267,,
sp1694305,,
sp1694307,,
sp1694284,8,3
sp1694297,2,2
sp1694288,,
sp1694292,8,3
sp1694342,8,3
sp1694298,,
sp1694303,,
sp1694336,,
sp1694302,3,9
sp1694306,9,9
sp1694314,8,3
sp1694334,8,3
sp1694332,2,9
sp1694346,,
sp1694350,,
sp1694351,8,3
sp1694352,,
sp1694353,,
sp1694354,,
sp1694355,8,3
sp1694356,,
sp1694357,,
sp1694358,,
sp1694359,,
sp1694360,8,3
sp1694361,,
sp1694362,,
sp1694363,,
sp1694364,,
sp1694365,,
sp1694366,8,3
sp1694367,,
sp1694368,9,9
sp1694369,,
sp1694370,9,9
sp1694371,8,3
sp1694372,,
sp1694373,,
sp1694374,8,3
sp1694375,8,3
sp1694376,,
